b03-t01-p01-1.1;Stadion;50.935268;6.875446
b03-t04-s01-0;null;50.93566;6.870403
b03-t04-s01-0;null;50.932253;6.869695
b03-t04-s02-0;null;50.930481;6.868
b03-t01-p01-1.2;Statthalterhof;50.930549;6.85784
b03-t04-s03-0;null;50.92921;6.856102
b03-t01-p01-1.3;Dorfkirche (Junkersdorf);50.93086;6.856209
b03-t01-p01-1.4;Fronhof;50.92969;6.852551
b03-t04-s04-0;null;50.935593;6.845813
b03-t04-s05-0;null;50.935715;6.833003
b03-t01-p01-1.5;Üsdorfer Kapelle;50.934562;6.830728
b03-t01-p01-1.6;Römische Grabkammer (Weiden);50.938576;6.824441
b03-t01-p01-1.7;St. Marien (alte Weidener Kirche);50.939663;6.833528
b03-t04-s06-0;null;50.940143;6.835095
b03-t04-s07-0;null;50.942212;6.835835
b03-t01-p01-1.8;Odemshof (Lövenich);50.94478;6.83134
b03-t01-p01-1.9;Mertenshof;50.944301;6.829854
b03-t01-p01-1.10;Keuchhof;50.944647;6.827976
b03-t01-p01-1.11;St. Severin;50.945108;6.829419
b03-t01-p01-1.12;Haus Közal;50.950073;6.832048
b03-t04-s08-0;null;50.961697;6.830471
b03-t04-s09-0;null;50.964407;6.828314
b03-t01-p01-1.13;Mertenshof (Widdersdorf);50.963089;6.826742
b03-t01-p01-1.14;St. Jakobus (Widdersdorf);50.963701;6.827053
b03-t01-p01-1.15;Burghof (Widdersdorf);50.964211;6.827322
