0;Reiterdenkmal;50.93627;6.96068
1;Eisenmarkt;50.9372;6.96164
2;Ostermannbrunnen;50.9378;6.96089
3;Fischweiber;50.93843;6.96237
4;Tierbrunnen;50.93889;6.9615
5;Jan von Werth-Brunnen;50.9386;6.96002
6;Pumpe Marsplatz;50.9376;6.95931
7;Fastnachtsbrunnen;50.93757;6.95796
8;Frauenbrunnen;50.93808;6.95776
9;Rathausbrunnen;50.93902;6.95854
10;Pumpe am Hof;50.93985;6.95852
11;Heinzelmännchenbrunnen;50.94;6.95731
